Date,Open,High,Low,Close
11/21/2023,"4,511.70","4,557.11","4,510.36","4,538.19"
11/17/2023,"4,406.66","4,521.17","4,393.82","4,514.02"
11/10/2023,"4,364.27","4,418.03","4,343.94","4,415.24"
11/03/2023,"4,139.39","4,373.62","4,132.94","4,358.34"
10/27/2023,"4,210.40","4,259.38","4,103.78","4,117.37"
10/20/2023,"4,342.37","4,393.57","4,223.03","4,224.16"
10/13/2023,"4,289.02","4,385.85","4,283.79","4,327.78"
10/06/2023,"4,284.52","4,324.10","4,216.45","4,308.50"
09/29/2023,"4,310.62","4,338.51","4,238.63","4,288.05"
09/22/2023,"4,445.13","4,466.36","4,316.49","4,320.06"
09/15/2023,"4,480.98","4,511.99","4,447.21","4,450.32"
09/08/2023,"4,510.06","4,514.29","4,430.46","4,457.49"
09/01/2023,"4,426.03","4,541.25","4,414.98","4,515.77"
08/25/2023,"4,380.28","4,458.30","4,356.29","4,405.71"
08/18/2023,"4,458.13","4,490.33","4,335.31","4,369.71"
08/11/2023,"4,491.58","4,527.37","4,443.98","4,464.05"
08/04/2023,"4,584.82","4,594.22","4,474.55","4,478.03"
07/28/2023,"4,543.39","4,607.07","4,528.56","4,582.23"
07/21/2023,"4,508.86","4,578.43","4,504.90","4,536.34"
07/14/2023,"4,394.23","4,527.76","4,389.92","4,505.42"
07/07/2023,"4,449.45","4,456.46","4,385.05","4,398.95"
06/30/2023,"4,344.84","4,458.48","4,328.08","4,450.38"
06/23/2023,"4,396.11","4,400.15","4,341.34","4,348.33"
06/16/2023,"4,308.32","4,448.47","4,304.37","4,409.59"
06/09/2023,"4,282.99","4,322.62","4,261.07","4,298.86"
06/02/2023,"4,226.71","4,290.67","4,166.15","4,282.37"
05/26/2023,"4,190.78","4,212.87","4,103.98","4,205.45"
05/19/2023,"4,126.65","4,212.91","4,109.86","4,191.98"
05/12/2023,"4,136.98","4,154.28","4,098.92","4,124.08"
05/05/2023,"4,166.79","4,186.92","4,048.28","4,136.25"
04/28/2023,"4,132.07","4,170.06","4,049.35","4,169.48"
04/21/2023,"4,137.17","4,169.48","4,113.86","4,133.52"
04/14/2023,"4,085.20","4,163.19","4,072.55","4,137.64"
04/06/2023,"4,102.20","4,133.13","4,069.84","4,105.02"
03/31/2023,"3,982.93","4,110.75","3,951.53","4,109.31"
03/24/2023,"3,917.47","4,039.49","3,909.16","3,970.99"
03/17/2023,"3,835.12","3,964.46","3,808.86","3,916.64"
03/10/2023,"4,055.15","4,078.49","3,846.32","3,861.59"
03/03/2023,"3,992.36","4,048.29","3,928.16","4,045.64"
02/24/2023,"4,052.35","4,052.35","3,943.08","3,970.04"
02/17/2023,"4,096.62","4,159.77","4,047.95","4,079.09"
02/10/2023,"4,119.57","4,176.54","4,060.79","4,090.46"
02/03/2023,"4,049.27","4,195.44","4,015.55","4,136.48"
01/27/2023,"3,978.14","4,094.21","3,949.06","4,070.56"
01/20/2023,"3,999.28","4,015.39","3,885.54","3,972.61"
01/13/2023,"3,910.82","4,003.95","3,877.29","3,999.09"
01/06/2023,"3,853.29","3,906.19","3,794.33","3,895.08"
12/30/2022,"3,843.34","3,858.19","3,780.78","3,839.50"
12/23/2022,"3,853.79","3,889.82","3,764.49","3,844.82"
12/16/2022,"3,939.29","4,100.96","3,827.91","3,852.36"
12/09/2022,"4,052.02","4,052.45","3,918.39","3,934.38"
12/02/2022,"4,005.36","4,100.51","3,937.65","4,071.70"
11/25/2022,"3,956.23","4,034.02","3,933.34","4,026.12"
